MSSV,HieuXe,SoLuong
22521027,All,3641.0
22520195,All,3641.0
22521060,All,3641.0
22520394,All,1378.5
22520395,All,1378.5
22520459,All,1220.0
22520507,All,1220.0
22520862,All,1220.0
22521070,All,903.0
22520211,All,903.0
22521342,All,853.5
22520970,All,853.5
22520779,All,850.5
22521587,All,850.5
22521586,All,598.5
22521559,All,598.5
21522924,All,596.0
21520938,All,523.0
22520634,All,523.0
22521692,All,517.5
22521676,All,517.5
21522500,All,407.5
21522771,All,407.5
22520915,All,331.0
22520914,All,330.0
22521492,All,299.5
22521599,All,299.5
22520477,All,261.0
22520490,All,261.0
21522373,All,241.0
21522499,All,241.0
22521560,All,231.5
22521614,All,231.5
22520348,All,133.0
22520530,All,133.0
22520837,All,133.0
22520550,All,102.0
22520967,All,102.0
22520581,All,100.0
22520521,All,96.0
22520884,All,96.0
22520223,All,79.5
22520213,All,79.5
22521463,All,70.33
22521213,All,70.33
22521259,All,70.33
22520683,All,65.0
22520811,All,65.0
22521465,All,65.0
22521425,All,49.5
22520318,All,49.5
2252014,All,1.0
