MSSV,HieuXe,SoLuong
22520914,Mitsubishi,23.0
22520914,Suzuki,61.0
22520914,Toyota,58.5
22520915,Honda,52.0
22520915,Hyundai,54.0
22520915,KIA,55.0
22520915,Mazda,27.5
22520915,Mitsubishi,23.0
22520915,Suzuki,61.0
22520915,Toyota,58.5
22520967,Honda,12.5
22520967,Hyundai,15.0
22520967,KIA,9.5
22520967,Mazda,10.0
22520967,Mitsubishi,7.0
22520967,Suzuki,13.0
22520967,Toyota,15.0
22520967,VinFast,20.0
22520970,Honda,130.5
22520970,Hyundai,60.0
22520970,KIA,111.5
22520970,Mazda,98.0
22520970,Mitsubishi,131.5
22520970,Suzuki,139.0
22520970,Toyota,183.0
22521027,Honda,333.33
22521027,Hyundai,370.33
22521027,KIA,356.33
22521027,Mazda,341.0
22521027,Mitsubishi,333.33
22521027,Suzuki,769.0
22521027,Toyota,739.33
22521027,VinFast,398.33
22521060,Honda,333.33
22521060,Hyundai,370.33
22521060,KIA,356.33
22521060,Mazda,341.0
22521060,Mitsubishi,333.33
22521060,Suzuki,769.0
22521060,Toyota,739.33
22521060,VinFast,398.33
22521070,Honda,154.0
22521070,Hyundai,197.0
22521070,KIA,141.5
22521070,Mazda,99.5
22521070,Mitsubishi,91.0
22521070,Suzuki,96.5
22521070,Toyota,123.5
22521213,Honda,5.0
22521213,Hyundai,5.0
22521213,KIA,5.0
22521213,Mazda,20.0
22521213,Mitsubishi,25.33
22521213,Suzuki,5.0
22521213,Toyota,5.0
22521259,Honda,5.0
22521259,Hyundai,5.0
22521259,KIA,5.0
22521259,Mazda,20.0
22521259,Mitsubishi,25.33
22521259,Suzuki,5.0
22521259,Toyota,5.0
22521342,Honda,130.5
22521342,Hyundai,60.0
22521342,KIA,111.5
22521342,Mazda,98.0
22521342,Mitsubishi,131.5
22521342,Suzuki,139.0
22521342,Toyota,183.0
22521425,Honda,5.0
22521425,Hyundai,5.0
22521425,KIA,5.0
22521425,Mazda,5.0
22521425,Suzuki,15.0
22521425,VinFast,14.5
22521463,Honda,5.0
22521463,Hyundai,5.0
22521463,KIA,5.0
22521463,Mazda,20.0
22521463,Mitsubishi,25.33
22521463,Suzuki,5.0
22521463,Toyota,5.0
22521465,Honda,21.67
22521465,Hyundai,5.0
22521465,Mazda,17.67
22521465,Mitsubishi,10.33
22521465,Suzuki,5.33
22521465,Toyota,5.0
22521492,Honda,21.0
22521492,Hyundai,19.5
22521492,KIA,16.5
22521492,Mazda,47.0
22521492,Mitsubishi,54.5
22521492,Suzuki,27.0
22521492,Toyota,48.0
22521492,VinFast,66.0
22521559,Honda,54.5
22521559,Hyundai,46.5
22521559,KIA,66.5
22521559,Mazda,143.5
22521559,Mitsubishi,77.0
22521559,Suzuki,50.5
22521559,Toyota,119.0
22521559,VinFast,41.0
22521560,Honda,24.0
22521560,Hyundai,25.0
22521560,KIA,23.0
22521560,Mazda,27.5
22521560,Mitsubishi,22.0
22521560,Suzuki,26.5
22521560,Toyota,52.0
22521560,VinFast,31.5
22521586,Honda,54.5
22521586,Hyundai,46.5
22521586,KIA,66.5
22521586,Mazda,143.5
22521586,Mitsubishi,77.0
22521586,Suzuki,50.5
22521586,Toyota,119.0
22521586,VinFast,41.0
22521587,Honda,99.5
22521587,Hyundai,185.5
22521587,KIA,175.5
22521587,Mazda,190.0
22521587,Mitsubishi,55.5
22521587,Suzuki,52.5
22521587,Toyota,41.0
22521587,VinFast,51.0
22521599,Honda,21.0
22521599,Hyundai,19.5
22521599,KIA,16.5
22521599,Mazda,47.0
22521599,Mitsubishi,54.5
22521599,Suzuki,27.0
22521599,Toyota,48.0
22521599,VinFast,66.0
22521614,Honda,24.0
22521614,Hyundai,25.0
22521614,KIA,23.0
22521614,Mazda,27.5
22521614,Mitsubishi,22.0
22521614,Suzuki,26.5
22521614,Toyota,52.0
22521614,VinFast,31.5
22521676,Honda,91.5
22521676,KIA,87.0
22521676,Mazda,90.0
22521676,Mitsubishi,63.0
22521676,Suzuki,95.0
22521676,Toyota,91.0
22521692,Honda,91.5
22521692,KIA,87.0
22521692,Mazda,90.0
22521692,Mitsubishi,63.0
22521692,Suzuki,95.0
22521692,Toyota,91.0
